2B CEK DME
2B CEK KZN
2B CEK OVB
2B DME CEK
2B DME KGD
2B DME KZN
2B DME NBC
2B DME PEZ
2B DME UUA
2B GYD NBC
2B KGD DME
2B KZN CEK
2B KZN DME
2B KZN LED
2B KZN MUC
2B KZN UUA
2B LED KZN
2B LED NBC
2B LED UUA
2B MUC KZN
2B NBC DME
2B NBC GYD
2B NBC LED
2B NJC UUA
2B OVB CEK
2B PEZ DME
2B UUA DME
2B UUA KZN
2B UUA LED
2B UUA NJC
2E HOM SOV
2E SOV HOM
2E SOV PGM
2I ANS LIM
2I AQP JUL
2I AQP LIM
2I AYP LIM
2I CUZ LIM
2I CUZ PEM
2I HUU LIM
2I IQT PCL
2I IQT TPP
2I JUL AQP
2I LIM ANS
2I LIM AQP
2I LIM AYP
2I LIM CUZ
2I LIM HUU
2I LIM PCL
2I LIM TBP
2I LIM TPP
2I PCL IQT
2I PCL LIM
2I PCL TPP
2I PEM CUZ
2I TBP TYL
2I TPP IQT
2I TPP LIM
2I TPP PCL
2I TYL LIM
2J ABJ BOY
2J ABJ OUA
2J ACC OUA
2J BKO DKR
2J BKO ORY
2J BKO OUA
2J BOY ABJ
2J BOY OUA
2J COO DLA
2J COO LBV
2J COO OUA
2J DKR BKO
2J DKR OUA
2J DLA COO
2J LBV COO
2J LFW OUA
2J NIM OUA
2J ORY OUA
2J OUA ABJ
2J OUA ACC
2J OUA BKO
2J OUA BOY
2J OUA COO
2J OUA DKR
2J OUA LFW
2J OUA NIM
2K BOG UIO
2K CUE GYE
2K CUE UIO
2K GPS GYE
2K GPS UIO
2K GYE CUE
2K GYE GPS
2K GYE JFK
2K GYE UIO
2K JFK GYE
2K MEC UIO
2K UIO BOG
2K UIO CUE
2K UIO GYE
2K UIO MEC
2L BRI ZRH
2L BRS ZRH
2L ZRH BRI
2L ZRH BRS
2M BUD KIV
2M KIV BUD
2M KIV SAW
2M KIV TSR
2M SAW KIV
2M TSR KIV
2N AJR ARN
2N AJR LYC
2N ARN AJR
2N ARN GEV
2N ARN KRF
2N ARN LYC
2N ARN MHQ
2N ARN VBY
2N ARN VHM
2N BMA OSD
2N CPH LPI
2N GEV ARN
2N GEV KRF
2N HEL MHQ
2N HMV VHM
2N KRF ARN
2N KRF GEV
2N LPI CPH
2N LPI ORB
2N LYC AJR
2N LYC ARN
2N MHQ ARN
2N MHQ HEL
2N ORB LPI
2N OSD BMA
2N VBY ARN
2N VHM ARN
2N VHM HMV
2O ADQ AOS
2O ADQ KKB
2O ADQ KLN
2O ADQ KOZ
2O ADQ OLH
2O AOS KZB
2O KKB SYB
2O KLN KYK
2O KOZ ORI
2O SYB KPR
2P BCD CEB
2P BCD MNL
2P CAN CEB
2P CBO MNL
2P CEB BCD
2P CEB CAN
2P CEB CGY
2P CEB DVO
2P CEB HKG
2P CEB ILO
2P CEB MNL
2P CEB MPH
2P CEB OZC
2P CEB TAC
2P CEB ZAM
2P CGY CEB
2P CGY DVO
2P CGY MNL
2P CRM MNL
2P CYP MNL
2P DVO CEB
2P DVO CGY
2P DVO ILO
2P DVO MNL
2P DVO ZAM
2P GES MNL
2P HGH KLO
2P HKG CEB
2P ILO CEB
2P ILO DVO
2P ILO MNL
2P JOL ZAM
2P KLO HGH
2P KLO MNL
2P KLO PEK
2P KLO PVG
2P LAO MNL
2P LGP MNL
2P MBT MNL
2P MNL BCD
2P MNL CBO
2P MNL CEB
2P MNL CGY
2P MNL CRM
2P MNL CYP
2P MNL DVO
2P MNL GES
2P MNL ILO
2P MNL KLO
2P MNL LAO
2P MNL LGP
2P MNL MBT
2P MNL MPH
2P MNL OZC
2P MNL PPS
2P MNL SIN
2P MNL SJI
2P MNL SUG
2P MNL TAC
2P MNL TAG
2P MNL TUG
2P MNL USU
2P MNL WNP
2P MNL ZAM
2P MPH CEB
2P MPH MNL
2P OZC CEB
2P OZC MNL
2P PEK KLO
2P PPS MNL
2P PPS USU
2P PVG KLO
2P SIN MNL
2P SJI MNL
2P SUG MNL
2P TAC CEB
2P TAC MNL
2P TAG MNL
2P TUG MNL
2P TWT ZAM
2P USU MNL
2P USU PPS
2P WNP MNL
2P ZAM CEB
2P ZAM DVO
2P ZAM JOL
2P ZAM MNL
2P ZAM TWT
3B OSR PRG
3B OSR VIE
3B POZ PRG
3B PRG OSR
3B PRG POZ
3B VIE OSR
3E BRL ORD
3E BRL STL
3E DEC ORD
3E DEC STL
3E ORD BRL
3E ORD DEC
3E STL BRL
3E STL DEC
3F CGA HYL
3F CGA KTN
3F HYL CGA
3F HYL KTN
3F KTB KTN
3F KTN CGA
3F KTN HYL
3F KTN KTB
3F KTN MTM
3F MTM KTN
3H AKV YIK
3H AKV YPX
3H XGR YVP
3H YGL YGW
3H YGL YPX
3H YGL YUL
3H YGW YGL
3H YGW YSK
3H YGW YUD
3H YGW YUL
3H YIK AKV
3H YIK YZG
3H YKG YPJ
3H YKG YQC
3H YKG YVP
3H YKL YQB
3H YKL YVP
3H YKL YWK
3H YKL YZV
3H YPH YPX
3H YPH YUD
3H YPH YVP
3H YPJ YKG
3H YPJ YTQ
3H YPJ YVP
3H YPX AKV
3H YPX YGL
3H YPX YPH
3H YPX YVP
3H YPX YZG
3H YQB YKL
3H YQB YUL
3H YQC YKG
3H YQC YWB
3H YSK YGW
3H YSK YUD
3H YTQ YPJ
3H YTQ YVP
3H YUD YGW
